filename,drugname,match,score
VAIPE_P_TRAIN_684.png,nifedipin hasan 20 retard 2omg,nifedipin hasan 20 retard 20mg,96
VAIPE_P_TRAIN_732.png,amoxicilin soomg soomg,amoxicilin 500mg 500mg,70
VAIPE_P_TRAIN_732.png,kagasdine,omeprazol (kagasdine) 20mg,100
VAIPE_P_TRAIN_732.png,hoathuyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,86
VAIPE_P_TRAIN_917.png,"cefadroxil 0,5g","cefadroxil 0,5g",100
VAIPE_P_TRAIN_917.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_874.png,enalapril smg,enalapril 5mg,92
VAIPE_P_TRAIN_874.png,kavasdin5 5 mg,kavasdin 5 5mg,100
VAIPE_P_TRAIN_874.png,"saviprolol 2,5 2,5mg","saviprolol 2,5 2,5mg",100
VAIPE_P_TRAIN_1014.png,mypara 500,mypara 500 500mg,78
VAIPE_P_TRAIN_694.png,"hapenxin capsules 0,5g","hapenxin capsules 0,5g",100
VAIPE_P_TRAIN_694.png,"meloxicam 7,smg","meloxicam 7,5mg",93
VAIPE_P_TRAIN_694.png,methylprednisolon 4 4mg,methylprednisolon 4 4mg,100
VAIPE_P_TRAIN_216.png,amoxicilin (fabamox 500) 5oomg,amoxicilin (fabamox 500) 500mg,93
VAIPE_P_TRAIN_216.png,paracetamol   (partamol tab.) soomg,paracetamol (partamol tab.) 500mg,90
VAIPE_P_TRAIN_216.png,metronidazol   (metronidazol 250) 250 mg,metronidazol (metronidazol 250) 250 mg,100
VAIPE_P_TRAIN_595.png,"novoxim-s00 0,5g","novoxim-500 0,5g",93
VAIPE_P_TRAIN_595.png,metronidazol 2somg,metronidazol 250mg,88
VAIPE_P_TRAIN_595.png,alverin,alverin 40mg,78
VAIPE_P_TRAIN_78.png,amcardia-5 smg,amcardia-5 5mg,92
VAIPE_P_TRAIN_78.png,hoat huyét dưong não 1somg+2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_713.png,colchcin img,colchicin 1mg,87
VAIPE_P_TRAIN_713.png,menison 4mg 4mg,menison 4mg 4mg,100
VAIPE_P_TRAIN_713.png,partamol tab. soomg,partamol tab. 500mg,82
VAIPE_P_TRAIN_339.png,nifedipin t2o stada retard 20 mg,nifedipin t20 stada retard 20mg,96
VAIPE_P_TRAIN_339.png,enalapril smg,enalapril 5mg,92
VAIPE_P_TRAIN_1060.png,"cefacyl 500 0,5g","cefacyl 500 0,5g",100
VAIPE_P_TRAIN_1060.png,vaco loratadine iomg,vaco loratadine 10mg,89
VAIPE_P_TRAIN_1060.png,bromhexin actavis 8mg 8mg,bromhexin actavis 8mg 8mg,100
VAIPE_P_TRAIN_1133.png,"cefadroxil soomg 0,5g","cefadroxil 0,5g",85
VAIPE_P_TRAIN_1133.png,"katrypsin 4,2mg","katrypsin 4,2mg",100
VAIPE_P_TRAIN_1133.png,partamol tab. soomg,partamol tab. 500mg,82
VAIPE_P_TRAIN_366.png,meglucon 1000 1000 mg,meglucon 1000 1000mg,100
VAIPE_P_TRAIN_366.png,diamicron mr tab 6omg 30's 6omg,diamicron mr tab 60mg 30's 60mg,92
VAIPE_P_TRAIN_275.png,mezafen 6omg,mezafen 60mg,91
VAIPE_P_TRAIN_275.png,setblood 115mg+loomg+somcg,setblood 115mg+100mg+50mcg,80
VAIPE_P_TRAIN_184.png,bloza,bloza 50mg,71
VAIPE_P_TRAIN_184.png,hoat huyét dưong não qn 15omg+2omg,hoạt huyết dưỡng não qn 150mg+20mg,84
VAIPE_P_TRAIN_716.png,ebitac 12.5 iomg +,"enalapril thydrochlorothiazide (ebitac 12.5) 10mg + 12,5mg",73
VAIPE_P_TRAIN_716.png,atoris 2omg 2omg,atoris 20mg 20mg,86
VAIPE_P_TRAIN_716.png,saviprolol 5 smg,savi prolol 5 5mg,93
VAIPE_P_TRAIN_711.png,glucofast 500 soomg,glucofast 850 850mg,82
VAIPE_P_TRAIN_711.png,gluzitop mr 60 60mg,gluzitop mr 60 60mg,100
VAIPE_P_TRAIN_151.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_151.png,"katrypsin 4,2mg","katrypsin 4,2mg",100
VAIPE_P_TRAIN_304.png,fudcime 2oomg 200mg,fudcime 200mg 200mg,88
VAIPE_P_TRAIN_304.png,bromhexin actavis 8mg 8mg,bromhexin actavis 8mg 8mg,100
VAIPE_P_TRAIN_304.png,menison 4mg amg,menison 4mg 4mg,92
VAIPE_P_TRAIN_450.png,meglucon 1000 1000 mg,meglucon 1000 1000mg,100
VAIPE_P_TRAIN_450.png,diamicron mr tab 6omg 30's 6omg,diamicron mr tab 60mg 30's 60mg,92
VAIPE_P_TRAIN_450.png,colchcin img,colchicin 1mg,87
VAIPE_P_TRAIN_21.png,carudxan 2mg,carudxan 2mg,100
VAIPE_P_TRAIN_21.png,metronidazol 250 250 mg,metronidazol 250 250mg,100
VAIPE_P_TRAIN_1071.png,"chorlatcyn 125mg,somg,somg;2smg",chorlatcyn 125mg+50mg+50mg+25mg,88
VAIPE_P_TRAIN_1071.png,vina-ad 2oooui+ 4ooui,vina-ad 2000ui+ 400ui,74
VAIPE_P_TRAIN_218.png,"hangitor plus 4omg+12,smg","hangitor plus 40mg+12,5mg",78
VAIPE_P_TRAIN_218.png,saviprolol 5 smg,savi prolol 5 5mg,93
VAIPE_P_TRAIN_218.png,hoạt huyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,90
VAIPE_P_TRAIN_218.png,inbacd 10 iomg,inbacid 10 10mg,80
VAIPE_P_TRAIN_974.png,enalapri smg,enalapril 5mg,87
VAIPE_P_TRAIN_974.png,pamlonor,pamlonor 5mg,84
VAIPE_P_TRAIN_129.png,amoxicilin (fabamox 500) 5o0mg,amoxicilin (fabamox 500) 500mg,96
VAIPE_P_TRAIN_129.png,"kim tiền thảo, râu ngô (kim tiền thảo) 120mg+35mg","kim tiền thảo, râu ngô (kim tiền thảo) 120mg+35mg",100
VAIPE_P_TRAIN_129.png,drotaverin clohydrat (dromasm fort),drotaverin clohydrat (dromasm fort) 80mg,100
VAIPE_P_TRAIN_5.png,fabamox 500 soomg,fabamox 500 500mg,80
VAIPE_P_TRAIN_5.png,prazopro 4omg,prazopro 40mg,92
VAIPE_P_TRAIN_5.png,dromasmfort 8omg,dromasm fort 80mg,93
VAIPE_P_TRAIN_1162.png,"cefadroxil 0,5g","cefadroxil 0,5g",100
VAIPE_P_TRAIN_1162.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_1162.png,vaco loratadine iomg,vaco loratadine 10mg,89
VAIPE_P_TRAIN_1162.png,setblood 1lsmg+loomg+somcg,setblood 115mg+100mg+50mcg,56
VAIPE_P_TRAIN_985.png,"amoxicillin soomg 0,5g","amoxicillin 500mg 0,5g",85
VAIPE_P_TRAIN_985.png,paracetamol soomg soomg,paracetamol 500mg 500mg,71
VAIPE_P_TRAIN_985.png,ciooo floode 1g sl:5 viên,c1000 floode 1g,55
VAIPE_P_TRAIN_947.png,vina-ad 20o0ui+ 4ooui,vina-ad 2000ui+ 400ui,84
VAIPE_P_TRAIN_947.png,hoat huyét dưong não 1somg; 2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_581.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_581.png,hoat huyét duong não bdf 1somg + smg,hoạt huyết dưỡng não bdf 150mg+5mg,65
VAIPE_P_TRAIN_86.png,glucofast 850 850mg,glucofast 850 850mg,100
VAIPE_P_TRAIN_86.png,lazibet mr 60 60mg,lazibet mr 60 60mg,100
VAIPE_P_TRAIN_347.png,glucofast 850 850mg,glucofast 850 850mg,100
VAIPE_P_TRAIN_347.png,diamicronmr tab 3omg 60's 30mg,diamicron mr tab 30mg 60's 30mg,96
VAIPE_P_TRAIN_526.png,pamlonor smg,pamlonor 5mg,91
VAIPE_P_TRAIN_526.png,hoạt huyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,90
VAIPE_P_TRAIN_526.png,"hapenxin capsules 0,5g","hapenxin capsules 0,5g",100
VAIPE_P_TRAIN_526.png,dixirein 375mg,dixirein 375mg,100
VAIPE_P_TRAIN_654.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_654.png,colchcin img,colchicin 1mg,87
VAIPE_P_TRAIN_654.png,sadapron 300 3oomg,sadapron 300 300mg,88
VAIPE_P_TRAIN_536.png,pamlonor smg,pamlonor 5mg,91
VAIPE_P_TRAIN_536.png,hoat huyét dưõng não 150mg+2omg,hoạt huyết dưỡng não 150mg+20mg,88
VAIPE_P_TRAIN_562.png,amoxicilin soomg soomg,amoxicilin 500mg 500mg,70
VAIPE_P_TRAIN_562.png,hoạt huyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,90
VAIPE_P_TRAIN_968.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_968.png,hoat huyét dưong não qn 1somg+2omg,hoạt huyết dưỡng não qn 150mg+20mg,80
VAIPE_P_TRAIN_234.png,"cefacyl 500 0,5g","cefacyl 500 0,5g",100
VAIPE_P_TRAIN_234.png,bromhexin actavis 8mg 8mg,bromhexin actavis 8mg 8mg,100
VAIPE_P_TRAIN_234.png,"statripsine 4,2mg","statripsine 4,2mg",100
VAIPE_P_TRAIN_234.png,medibogan 2oomg + 1somg + 16mg,medibogan 200mg + 150mg + 16mg,84
VAIPE_P_TRAIN_13.png,meglucon 1000 1000 mg,meglucon 1000 1000mg,100
VAIPE_P_TRAIN_958.png,lazibet mr 60 6omg,lazibet mr 60 60mg,93
VAIPE_P_TRAIN_236.png,"cefacyl 500 0,5g","cefacyl 500 0,5g",100
VAIPE_P_TRAIN_236.png,hoat huyét dưong não 1somg; 2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_751.png,metformin (meglucon 1000) 1000 mg,metformin (meglucon 1000) 1000 mg,100
VAIPE_P_TRAIN_751.png,atorvastatin (atoris,atorvastatin (atoris 20mg) 20mg,81
VAIPE_P_TRAIN_180.png,milurit,milurit 300mg,74
VAIPE_P_TRAIN_180.png,goutcolcin img,goutcolcin 1mg,92
VAIPE_P_TRAIN_180.png,partamol tab. soomg,partamol tab. 500mg,82
VAIPE_P_TRAIN_97.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_97.png,"alfachim 4,2mg","alfachim 4,2mg",100
VAIPE_P_TRAIN_842.png,"droxicef soomg 0,5g","droxicef 0,5g",83
VAIPE_P_TRAIN_984.png,"amoxicillin soomg 0,5g","amoxicillin 500mg 0,5g",85
VAIPE_P_TRAIN_984.png,paracetamol soomg soomg,paracetamol 500mg 500mg,71
VAIPE_P_TRAIN_984.png,ciooo floode 1g sl:5 viên,c1000 floode 1g,55
VAIPE_P_TRAIN_215.png,cefadroxil soomg soomg,cefadroxil 500mg 500mg,70
VAIPE_P_TRAIN_215.png,vaco loratadine iomg,vaco loratadine 10mg,89
VAIPE_P_TRAIN_215.png,cosyndo b 175mg +175mg+ 125mcg,cosyndo b 175mg+175mg+125mcg,100
VAIPE_P_TRAIN_868.png,"hangitor plus 4omg+12,smg","hangitor plus 40mg+12,5mg",78
VAIPE_P_TRAIN_868.png,atoris 2omg 2omg,atoris 20mg 20mg,86
VAIPE_P_TRAIN_868.png,kagasdine 2omg,kagasdine 20mg,92
VAIPE_P_TRAIN_1034.png,"ebitac 12.5 iomg + 12,5mg","ebitac 12.5 10mg + 12,5mg",90
VAIPE_P_TRAIN_1034.png,saviprolol 5 smg,savi prolol 5 5mg,93
VAIPE_P_TRAIN_1034.png,bốhuyết íchnão bdf 4omg+3oomg,bố huyết ích não bdf 40mg+300mg,88
VAIPE_P_TRAIN_837.png,"novoxim-s00 0,5g","novoxim-500 0,5g",93
VAIPE_P_TRAIN_837.png,metronidazol 250mg,metronidazol 250mg,100
VAIPE_P_TRAIN_837.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_1107.png,kavasdin5 5 mg,kavasdin 5 5mg,100
VAIPE_P_TRAIN_1107.png,hoat huyét dưong não 1somg; 2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_1107.png,cosyndo b 175mg +175mg+ 125mcg,cosyndo b 175mg+175mg+125mcg,100
VAIPE_P_TRAIN_1093.png,metronidazol 250 250 mg,metronidazol 250 250mg,100
VAIPE_P_TRAIN_1093.png,dromasmfort 8omg,dromasm fort 80mg,93
VAIPE_P_TRAIN_1093.png,fabamox 500 5oomg,fabamox 500 500mg,87
VAIPE_P_TRAIN_1093.png,ôhuyét íchnão bdf 4omg+3o0mg,bố huyết ích não bdf 40mg+300mg,84
VAIPE_P_TRAIN_1093.png,chorlatcyn 125mg+5omg+5omg+2smg,chorlatcyn 125mg+50mg+50mg+25mg,92
VAIPE_P_TRAIN_1001.png,"cefadroxil soomg 0,5g","cefadroxil 0,5g",85
VAIPE_P_TRAIN_1001.png,partamol tab. soomg,partamol tab. 500mg,82
VAIPE_P_TRAIN_185.png,"amoxycilin 2somg 0,25g","amoxycilin 250mg 0,25g",90
VAIPE_P_TRAIN_185.png,partamol tab. soomg,partamol tab. 500mg,82
VAIPE_P_TRAIN_185.png,ciooo floode 1g sl:5 viên,c1000 floode 1g,55
VAIPE_P_TRAIN_84.png,glucofast 850 850mg,glucofast 850 850mg,100
VAIPE_P_TRAIN_84.png,lazibet mr 60 60mg,lazibet mr 60 60mg,100
VAIPE_P_TRAIN_177.png,metformin 500 soomg,metformin 500 500mg,82
VAIPE_P_TRAIN_177.png,diamicron mr tab 6omg 30's 6omg,diamicron mr tab 60mg 30's 60mg,92
VAIPE_P_TRAIN_838.png,"novoxim-s00 0,5g","novoxim-500 0,5g",93
VAIPE_P_TRAIN_838.png,metronidazol 250mg,metronidazol 250mg,100
VAIPE_P_TRAIN_838.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_900.png,golddicron 30mg,golddicron 30mg,100
VAIPE_P_TRAIN_900.png,chorlatcyn 125mg+5omg+5omg+2smg,chorlatcyn 125mg+50mg+50mg+25mg,92
VAIPE_P_TRAIN_821.png,fabamox 500 soomg,fabamox 500 500mg,80
VAIPE_P_TRAIN_821.png,metronidazol 250 250 mg,metronidazol 250 250mg,100
VAIPE_P_TRAIN_821.png,kagasdine,omeprazol (kagasdine) 20mg,100
VAIPE_P_TRAIN_821.png,oat huyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,84
VAIPE_P_TRAIN_572.png,hoạt huyét dưỡng não 1somg+2omg,hoạt huyết dưỡng não 150mg+20mg,86
VAIPE_P_TRAIN_572.png,cosyndo b 175mg+l75mg+12smcg,cosyndo b 175mg+175mg+125mcg,92
VAIPE_P_TRAIN_338.png,meglucon 1000 100o mg,meglucon 1000 1000mg,94
VAIPE_P_TRAIN_338.png,golddicron 3omg,golddicron 30mg,93
VAIPE_P_TRAIN_338.png,"hangitor plus 4omg+12,5mg","hangitor plus 40mg+12,5mg",96
VAIPE_P_TRAIN_338.png,"saviprolol 2,5 2,5mg","saviprolol 2,5 2,5mg",100
VAIPE_P_TRAIN_338.png,oat huyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,84
VAIPE_P_TRAIN_484.png,"cefadroxil soomg 0,5g","cefadroxil 0,5g",85
VAIPE_P_TRAIN_484.png,partamol tab. soomg,partamol tab. 500mg,82
VAIPE_P_TRAIN_484.png,vipredni 16 mg 16mg,vipredni 16mg 16mg,100
VAIPE_P_TRAIN_230.png,savilosartan 50 somg,savi losartan 50 50mg,89
VAIPE_P_TRAIN_230.png,hoat huyét dưong não 1somg; 2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_1098.png,"droxicef soomg 0,5g","droxicef 0,5g",83
VAIPE_P_TRAIN_1098.png,diclofenac somg,diclofenac 50mg,86
VAIPE_P_TRAIN_201.png,hoạt huyét dưỡng não bdf isomg + smg,hoạt huyết dưỡng não bdf 150mg+5mg,73
VAIPE_P_TRAIN_201.png,vina-ad 2oo0ui+ 4ooui,vina-ad 2000ui+ 400ui,79
VAIPE_P_TRAIN_277.png,enalapri smg,enalapril 5mg,87
VAIPE_P_TRAIN_277.png,pamlonor,pamlonor 5mg,84
VAIPE_P_TRAIN_277.png,hoathuyét dưỡng não 15omg+2omg,hoạt huyết dưỡng não 150mg+20mg,86
VAIPE_P_TRAIN_517.png,kavasdin 5 5 mg,kavasdin 5 5mg,100
VAIPE_P_TRAIN_517.png,hoat huyét dưong não 1somg+2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_494.png,stacetam 8oomg 8o0mg,stacetam 800mg 800mg,83
VAIPE_P_TRAIN_494.png,leninarto 10 iomg,leninarto 10 10mg,87
VAIPE_P_TRAIN_494.png,"ebitac 12.5 iomg + 12,smg","ebitac 12.5 10mg + 12,5mg",86
VAIPE_P_TRAIN_852.png,"cefacyl 500 0,5g","cefacyl 500 0,5g",100
VAIPE_P_TRAIN_852.png,paracetamol soomg soomg,paracetamol 500mg 500mg,71
VAIPE_P_TRAIN_501.png,enalapril smg,enalapril 5mg,92
VAIPE_P_TRAIN_501.png,saviprolol 5 smg,savi prolol 5 5mg,93
VAIPE_P_TRAIN_501.png,inbaci 10 iomg,inbacid 10 10mg,80
VAIPE_P_TRAIN_428.png,"cefadroxil 0,5g","cefadroxil 0,5g",100
VAIPE_P_TRAIN_428.png,bromhexin actavis 8mg 8mg,bromhexin actavis 8mg 8mg,100
VAIPE_P_TRAIN_428.png,becosemd 4omg,becosemid 40mg,88
VAIPE_P_TRAIN_606.png,metformin 500 soomg,metformin 500 500mg,82
VAIPE_P_TRAIN_782.png,glucofast 500 soomg,glucofast 850 850mg,82
VAIPE_P_TRAIN_782.png,bloza,bloza 50mg,71
VAIPE_P_TRAIN_780.png,"ebitac 12.5 iomg + 12,5mg","ebitac 12.5 10mg + 12,5mg",90
VAIPE_P_TRAIN_780.png,saviprolol 5 smg,savi prolol 5 5mg,93
VAIPE_P_TRAIN_780.png,atoris 2omg 2omg,atoris 20mg 20mg,86
VAIPE_P_TRAIN_1097.png,kavasdin 5 5 mg,kavasdin 5 5mg,100
VAIPE_P_TRAIN_1097.png,"xitoran 0,5g","xitoran 0,5g",100
VAIPE_P_TRAIN_1097.png,mypara 500 soomg,mypara 500 500mg,79
VAIPE_P_TRAIN_779.png,"hapenxin capsules 0,5g","hapenxin capsules 0,5g",100
VAIPE_P_TRAIN_779.png,tydol pm soomg + 2smg,tydol pm 500mg + 25mg,76
VAIPE_P_TRAIN_779.png,bromhexin actavis 8mg,bromhexin actavis 8mg,100
VAIPE_P_TRAIN_130.png,glucofast 500 soomg,glucofast 850 850mg,82
VAIPE_P_TRAIN_130.png,kavasdin5 5 mg,kavasdin 5 5mg,100
VAIPE_P_TRAIN_819.png,amcardia-5 smg,amcardia-5 5mg,92
VAIPE_P_TRAIN_819.png,hoat huyét dưong não 1somg+2omg,hoạt huyết dưỡng não 150mg+20mg,78
VAIPE_P_TRAIN_819.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_1118.png,"amoxicillin soomg 0,5g","amoxicillin 500mg 0,5g",85
VAIPE_P_TRAIN_1118.png,panactol soomg,panactol 500mg,77
VAIPE_P_TRAIN_1118.png,clorpheniramin amg,clorpheniramin 4mg,94
VAIPE_P_TRAIN_970.png,"cefalexin (firstlexin 500) 0,58","cefalexin (firstlexin 500) 0,5g",96
VAIPE_P_TRAIN_970.png,carbocistein (anpemux) 25omg,carbocistein (anpemux) 250mg,96
VAIPE_P_TRAIN_970.png,"đinh lăng, bạch quả (hoạt huyết dưỡng não) 150mg+2omg","đinh lăng, bạch quả (hoạt huyết dưỡng não) 150mg+20mg",98
VAIPE_P_TRAIN_24.png,carudxan 2mg,carudxan 2mg,100
VAIPE_P_TRAIN_24.png,metronidazol 250 250 mg,metronidazol 250 250mg,100
VAIPE_P_TRAIN_1025.png,"droxicef 0,5g","droxicef 0,5g",100
VAIPE_P_TRAIN_1025.png,dixirein 375mg,dixirein 375mg,100
VAIPE_P_TRAIN_1032.png,savilosartan 50 somg,savi losartan 50 50mg,89
VAIPE_P_TRAIN_795.png,ingaron 200 dst 200 mg,ingaron 200 dst 200mg,100
VAIPE_P_TRAIN_795.png,partamol tab. soomg,partamol tab. 500mg,82
VAIPE_P_TRAIN_795.png,dixirein,dixirein 375mg,76
VAIPE_P_TRAIN_795.png,vipredni 16 mg 16mg,vipredni 16mg 16mg,100
VAIPE_P_TRAIN_308.png,"hapenxin capsules 0,5g","hapenxin capsules 0,5g",100
VAIPE_P_TRAIN_308.png,pariamol tab soomg,partamol tab. 500mg,61
